data;receita;transacoes_blog;transacoes_site;usuarios_blog;usuarios_site
01/01/2019;349184;0;4693;0;46739
02/01/2019;867328;0;8501;0;83129
03/01/2019;758590;0;9375;0;86067
04/01/2019;688873;0;8405;0;69363
05/01/2019;441760;0;6136;0;56183
06/01/2019;539398;0;5762;0;50790
07/01/2019;703413;0;8072;0;73742
08/01/2019;884104;0;9455;0;84951
09/01/2019;911559;0;10152;0;80605
10/01/2019;946827;0;11294;0;87958
11/01/2019;744703;0;7899;0;77547
12/01/2019;618895;0;6195;0;60575
13/01/2019;498954;0;5379;0;54206
14/01/2019;843095;0;8343;0;79773
15/01/2019;828551;0;7777;0;87674
16/01/2019;796483;0;7653;0;82179
17/01/2019;629143;0;8028;0;75004
18/01/2019;713970;0;7218;0;79341
19/01/2019;479445;0;5342;0;58620
20/01/2019;331233;0;4985;0;50433
21/01/2019;386845;0;7048;0;76946
22/01/2019;586208;0;8035;0;78064
23/01/2019;854498;0;9162;0;84337
24/01/2019;974779;0;10090;0;75472
25/01/2019;722557;0;8120;0;69387
26/01/2019;572156;0;5834;0;53949
27/01/2019;517040;0;6051;0;53257
28/01/2019;897331;0;9266;0;77907
29/01/2019;959310;0;9866;0;83089
30/01/2019;1263161;0;13184;0;88170
31/01/2019;1129928;0;11791;0;75501
01/02/2019;1155090;0;11717;0;76085
02/02/2019;929449;0;10481;0;54903
03/02/2019;1057349;0;10568;0;59614
04/02/2019;1120520;0;12462;0;80780
05/02/2019;1170478;0;12160;0;80816
06/02/2019;990709;0;11988;0;80071
07/02/2019;962898;0;10502;0;76805
08/02/2019;1021590;0;10462;0;72480
09/02/2019;835828;0;8580;0;59205
10/02/2019;605392;0;7621;0;56802
11/02/2019;771338;0;11370;0;84427
12/02/2019;1114752;0;13181;0;91192
13/02/2019;1232609;0;12492;0;92555
14/02/2019;1340918;0;12798;0;96579
15/02/2019;1083209;0;9584;0;86576
16/02/2019;709844;0;7257;0;70871
17/02/2019;859162;0;7548;0;64710
18/02/2019;924714;0;9812;0;80844
19/02/2019;893083;0;10935;0;86537
20/02/2019;1114770;0;10437;0;88325
21/02/2019;1199628;0;10897;0;81851
22/02/2019;897779;0;9131;0;81359
23/02/2019;820628;0;7061;0;61120
24/02/2019;728770;0;6542;0;65802
25/02/2019;890689;0;8834;0;81724
26/02/2019;850192;0;9446;0;91442
27/02/2019;984379;0;9247;0;95283
28/02/2019;1181333;0;11436;0;96312
01/03/2019;1689589;0;15577;0;97690
02/03/2019;1183921;0;10403;0;82062
03/03/2019;884714;0;7585;0;66431
04/03/2019;1227557;0;11473;0;75510
05/03/2019;1216693;0;12020;0;74842
06/03/2019;1688251;0;16212;0;105136
07/03/2019;1877771;0;17793;0;108032
08/03/2019;2453247;0;24376;0;109411
09/03/2019;1745899;0;16392;0;90465
10/03/2019;1420865;0;16102;0;96319
11/03/2019;1862668;0;19160;0;107644
12/03/2019;2178276;0;19055;0;120040
13/03/2019;2900837;0;25699;0;134337
14/03/2019;2029349;0;19555;0;120227
15/03/2019;2452147;0;26785;0;122176
16/03/2019;1642667;0;16925;0;88687
17/03/2019;1584710;0;15895;0;90174
18/03/2019;2135950;0;21711;0;113991
19/03/2019;1893939;0;20770;0;109750
20/03/2019;1914114;0;20730;0;111409
21/03/2019;1522600;0;15624;0;106325
22/03/2019;1430428;0;15911;0;104350
23/03/2019;943218;0;9752;0;91828
24/03/2019;716056;0;9398;0;92235
25/03/2019;1213838;0;12283;0;116668
26/03/2019;1205152;0;13226;0;114290
27/03/2019;1057074;0;10367;0;120564
28/03/2019;1268130;0;11554;0;103030
29/03/2019;1083285;0;8945;0;88142
30/03/2019;888405;0;8307;0;81218
31/03/2019;1247581;0;10898;0;82335
01/04/2019;312978;0;4520;0;91724
02/04/2019;348485;0;5334;0;101358
03/04/2019;349013;0;5533;0;98181
04/04/2019;493957;0;5937;0;83562
05/04/2019;441234;0;5015;0;82464
06/04/2019;252490;0;3557;0;72588
07/04/2019;217872;0;3914;0;71946
08/04/2019;450556;0;5385;0;96892
09/04/2019;377667;0;5724;0;90240
10/04/2019;266642;0;4683;0;94851
11/04/2019;363959;0;5037;0;85805
12/04/2019;572299;0;7745;0;83253
13/04/2019;420450;0;6527;0;88173
14/04/2019;585911;0;7080;0;87968
15/04/2019;493451;0;8799;0;117790
16/04/2019;764866;0;9573;0;114544
17/04/2019;439002;0;7035;0;108914
18/04/2019;212199;0;5530;0;97960
19/04/2019;293353;0;4854;0;80786
20/04/2019;150838;0;4113;0;79685
21/04/2019;336256;0;4787;0;70927
22/04/2019;570197;0;7779;0;104084
23/04/2019;350483;0;7769;0;93751
24/04/2019;200765;0;4170;0;96233
25/04/2019;342116;0;5828;0;85562
26/04/2019;139264;0;16308;0;107228
27/04/2019;459356;0;7104;0;73538
28/04/2019;118375;0;4662;0;72828
29/04/2019;297918;0;6182;0;90371
30/04/2019;403697;0;8587;0;91159
01/05/2019;166459;0;7312;0;85362
02/05/2019;674865;0;10482;0;100083
03/05/2019;204324;0;8924;0;97420
04/05/2019;616437;0;8745;0;84213
05/05/2019;522526;0;8899;0;77995
06/05/2019;840616;0;14001;0;121700
07/05/2019;734281;0;14026;0;138056
08/05/2019;802813;0;14028;0;177564
09/05/2019;611125;0;11692;0;117820
10/05/2019;599933;0;11041;0;100265
11/05/2019;581066;0;9194;0;83939
12/05/2019;461656;0;7698;0;70571
13/05/2019;165028;0;9318;0;85737
14/05/2019;32085;0;10446;0;90697
15/05/2019;164982;0;9373;0;88901
16/05/2019;534306;0;10978;0;99556
17/05/2019;720529;0;13317;0;91960
18/05/2019;591383;0;9932;0;77114
19/05/2019;621726;0;10364;0;73228
20/05/2019;732041;0;12643;0;109176
21/05/2019;719290;0;12971;0;109070
22/05/2019;1167599;0;20166;0;130850
23/05/2019;546648;0;16279;0;115490
24/05/2019;512458;0;12726;0;93375
25/05/2019;431424;0;9169;0;72269
26/05/2019;397178;0;10011;0;83026
27/05/2019;635720;0;12902;0;109522
28/05/2019;548047;0;12944;0;102413
29/05/2019;752303;0;14737;0;100165
30/05/2019;956558;0;16488;0;100852
31/05/2019;1137526;0;17980;0;71314
01/06/2019;751575;0;9489;0;94226
02/06/2019;805682;0;9870;0;93038
03/06/2019;991577;0;15261;0;119902
04/06/2019;1300989;0;16397;0;130835
05/06/2019;1316867;0;15740;0;124250
06/06/2019;1116602;0;13585;0;135486
07/06/2019;1019468;0;11523;0;110003
08/06/2019;557021;0;8110;0;79649
09/06/2019;618378;0;8264;0;82786
10/06/2019;1004503;0;11321;0;111228
11/06/2019;932812;0;11493;0;109655
12/06/2019;1034004;0;11757;0;103438
13/06/2019;1331277;0;15222;0;99720
14/06/2019;1426065;0;14185;0;97931
15/06/2019;928345;0;10409;0;82388
16/06/2019;637417;0;8560;0;69316
17/06/2019;1116068;0;12971;0;113291
18/06/2019;1078072;0;21569;0;81611
19/06/2019;1152616;0;18023;0;72236
20/06/2019;907964;0;13907;0;62217
21/06/2019;846892;0;14562;0;68780
22/06/2019;718608;0;9885;0;53388
23/06/2019;576207;0;10774;0;59125
24/06/2019;814009;0;8894;0;72517
25/06/2019;766391;0;10004;0;75238
26/06/2019;863652;0;13051;0;82215
27/06/2019;1410403;0;19920;0;94364
28/06/2019;894113;0;14837;0;87989
29/06/2019;582721;0;7962;0;75159
30/06/2019;711290;0;9526;0;58075
01/07/2019;726732;0;9318;0;106093
02/07/2019;763589;0;10997;0;116328
03/07/2019;1086633;0;15438;0;131248
04/07/2019;957712;0;14950;0;124326
05/07/2019;1192166;0;22901;0;123090
06/07/2019;1033276;0;16069;0;117467
07/07/2019;658206;0;13844;0;110584
08/07/2019;843097;0;17833;0;118238
09/07/2019;1079432;0;21034;0;110779
10/07/2019;720706;0;19931;0;119234
11/07/2019;533362;0;11386;0;106024
12/07/2019;877009;0;11689;0;89519
13/07/2019;700244;0;9790;0;79769
14/07/2019;871302;0;45241;0;74057
15/07/2019;664360;0;15825;0;107960
16/07/2019;800295;0;10151;0;104575
17/07/2019;1218608;0;12897;0;111120
18/07/2019;1020791;0;12109;0;94492
19/07/2019;577510;0;9036;0;87627
20/07/2019;248155;0;6477;0;73768
21/07/2019;349618;0;6639;0;78426
22/07/2019;728261;0;16193;0;111362
23/07/2019;1015252;0;19522;0;113909
24/07/2019;941974;0;18577;0;104270
25/07/2019;685560;0;17216;0;108736
26/07/2019;939334;0;15536;0;118102
27/07/2019;751177;0;11299;0;99032
28/07/2019;813649;0;13996;0;90435
29/07/2019;716677;0;17219;0;134588
30/07/2019;1009566;0;17404;0;125950
31/07/2019;1596190;0;20648;0;121556
01/08/2019;884327;0;10029;0;108372
02/08/2019;987850;0;12672;0;104294
03/08/2019;665306;0;9631;0;79532
04/08/2019;891528;0;11888;0;89148
05/08/2019;1338501;0;17074;0;109232
06/08/2019;1132472;0;16447;0;111154
07/08/2019;1383564;0;21655;0;115426
08/08/2019;1599141;0;22618;0;111694
